iter	Logloss
0	0.6730604904
1	0.6539716764
2	0.6381643564
3	0.6247337642
4	0.6110715369
5	0.5999765932
6	0.5900855922
7	0.5805273516
8	0.5730015525
9	0.565757791
10	0.5590393777
11	0.5529992277
12	0.547022899
13	0.5418292512
14	0.5379299687
15	0.5342336086
16	0.5302641849
17	0.5271002583
18	0.5242736409
19	0.5212985779
20	0.5184196119
21	0.515320366
22	0.5124714642
23	0.5106306702
24	0.5083564411
25	0.5068218189
26	0.5049562219
27	0.5029965441
28	0.5017677249
29	0.4999677491
30	0.4988360092
31	0.4974397828
32	0.4957836224
33	0.4942773947
34	0.4931438404
35	0.4921413456
36	0.4908215487
37	0.4899252348
38	0.4887877094
39	0.4879659877
40	0.4874006785
41	0.4866398017
42	0.4855612713
43	0.485021878
44	0.4843672075
45	0.4836325389
46	0.4826840128
47	0.4822124901
48	0.4816449725
49	0.4810744507
50	0.4804169745
51	0.4796586706
52	0.4790948312
53	0.4784301131
54	0.4778290337
55	0.4773625123
56	0.4768005545
57	0.4763979222
58	0.4756393039
59	0.4752241128
60	0.4748679153
61	0.4745983609
62	0.4741697076
63	0.4738468389
64	0.4734507369
65	0.472948924
66	0.4725285835
67	0.472132322
68	0.4718449142
69	0.4716431985
70	0.4713437085
71	0.4712144935
72	0.4708778117
73	0.4703895499
74	0.4701528959
75	0.4698798903
76	0.4696932539
77	0.4694292678
78	0.4691965082
79	0.4690470905
80	0.4688363265
81	0.4685401127
82	0.4682271944
83	0.4679756555
84	0.4676960365
85	0.4675078902
86	0.4671919088
87	0.4670418268
88	0.4668713943
89	0.4665147996
90	0.4661447902
91	0.4659228943
92	0.4656731431
93	0.4654377127
94	0.4651475554
95	0.464780533
96	0.4645550483
97	0.4643878043
98	0.4642740651
99	0.4639582859
100	0.4638216074
101	0.4635494065
102	0.4633745917
103	0.4630698142
104	0.4628667696
105	0.4624453084
106	0.4620554293
107	0.4617582781
108	0.4615947369
109	0.4614229496
110	0.4612598869
111	0.4610839408
112	0.4608179896
113	0.4606087415
114	0.4603319729
115	0.4601429466
116	0.459975263
117	0.4598123726
118	0.4595348115
119	0.459308299
120	0.4591539063
121	0.4590097222
122	0.4587886845
123	0.4585544776
124	0.4584164424
125	0.4582952632
126	0.4576202579
127	0.4574084104
128	0.457291186
129	0.4570971919
130	0.4568210923
131	0.4567396627
132	0.456580601
133	0.4563829019
134	0.4562775583
135	0.4560437492
136	0.4559663545
137	0.4557420946
138	0.4555075459
139	0.4552909973
140	0.4551421426
141	0.4550308546
142	0.4549087367
143	0.4547183617
144	0.4545131181
145	0.4543506152
146	0.4542481408
147	0.4541342253
148	0.4539632941
149	0.4537988006
150	0.4535832976
151	0.4533783496
152	0.4532485503
153	0.4531133868
154	0.4529390666
155	0.4528472918
156	0.4526751269
157	0.4525684979
158	0.4523832119
159	0.4521895665
160	0.4520078179
161	0.451813111
162	0.4516639815
163	0.4514221489
164	0.4511795726
165	0.4509809168
166	0.4507907329
167	0.4505501004
168	0.4504026087
169	0.4502271079
170	0.4501313299
171	0.449967834
172	0.4498019213
173	0.4496810023
174	0.4494890297
175	0.4493177646
176	0.4491740533
177	0.4488977407
178	0.4487433094
179	0.4485400773
180	0.4482837593
181	0.4480773961
182	0.447943713
183	0.4477759236
184	0.4476046152
185	0.4474551222
186	0.4473031677
187	0.4470031268
188	0.4468567422
189	0.4466858009
190	0.4463604738
191	0.4462096239
192	0.4460636181
193	0.4459451648
194	0.4458546078
195	0.4456114313
196	0.4454665089
197	0.4452503471
198	0.445071229
199	0.4449605369
