iter	Passed	Remaining
0	1	364
1	3	312
2	5	375
3	6	338
4	13	514
5	14	479
6	17	472
7	24	586
8	27	578
9	28	541
10	29	511
11	30	485
12	32	464
13	33	445
14	34	428
15	35	413
16	37	399
17	39	404
18	42	407
19	45	408
20	48	409
21	50	409
22	53	409
23	57	418
24	58	407
25	59	398
26	61	396
27	63	387
28	64	378
29	66	378
30	72	392
31	73	385
32	76	386
33	79	387
34	80	379
35	83	379
36	87	383
37	89	381
38	90	374
39	91	367
40	92	360
41	94	354
42	95	348
43	96	343
44	98	338
45	99	332
46	100	327
47	101	322
48	103	317
49	104	312
50	106	312
51	109	312
52	112	311
53	114	310
54	116	306
55	117	302
56	118	297
57	119	293
58	121	289
59	122	285
60	123	281
61	124	277
62	126	274
63	127	270
64	134	278
65	136	277
66	138	274
67	139	270
68	140	266
69	142	264
70	144	262
71	147	262
72	149	260
73	151	257
74	152	254
75	153	250
76	155	248
77	159	248
78	161	247
79	164	246
80	165	243
81	167	240
82	168	237
83	169	234
84	170	230
85	171	227
86	173	224
87	174	221
88	180	224
89	183	224
90	186	223
91	189	222
92	192	221
93	193	218
94	195	215
95	198	214
96	199	211
97	200	208
98	202	206
99	203	203
100	204	200
101	205	197
102	221	208
103	253	233
104	254	230
105	256	227
106	257	223
107	260	221
108	261	218
109	263	215
110	264	212
111	265	208
112	267	205
113	268	202
114	269	198
115	270	195
116	271	192
117	272	189
118	273	186
119	275	183
120	276	180
121	277	177
122	278	174
123	279	171
124	280	168
125	281	165
126	282	162
127	283	159
128	284	156
129	285	153
130	286	150
131	287	148
132	288	145
133	289	142
134	291	140
135	292	137
136	293	135
137	294	132
138	295	129
139	297	127
140	298	124
141	299	122
142	300	119
143	301	117
144	302	114
145	303	112
146	305	110
147	306	107
148	307	105
149	309	103
150	310	100
151	311	98
152	312	95
153	313	93
154	314	91
155	315	88
156	316	86
157	317	84
158	318	82
159	319	79
160	320	77
161	321	75
162	322	73
163	323	71
164	325	68
165	326	66
166	327	64
167	328	62
168	329	60
169	330	58
170	331	56
171	332	54
172	333	51
173	334	49
174	335	47
175	336	45
176	337	43
177	338	41
178	339	39
179	340	37
180	341	35
181	342	33
182	343	31
183	344	29
184	345	28
185	346	26
186	347	24
187	348	22
188	349	20
189	350	18
190	351	16
191	352	14
192	354	12
193	355	10
194	356	9
195	357	7
196	358	5
197	359	3
198	360	1
199	361	0
